id;nazwa;info_zab;cena
"ZCCAPFI206PGY";"Canon PFI-206PGY photo grey";"0.0";"0.0"
"ZCCAPFI206PM";"Canon PFI-206PM photo magenta";"0.0";"0.0"
"ZCCAPFI206R";"Canon PFI-206R red";"0.0";"0.0"
"ZCCAPFI206Y";"Canon PFI-206Y yellow";"0.0";"0.0"
"ZCCAPFI207BK";"Canon PFI-207BK black";"0.0";"0.0"
"ZCCAPFI207C";"Canon PFI-207C cyan";"0.0";"0.0"
"ZCCAPFI207M";"Canon PFI-207M magenta";"0.0";"0.0"
"ZCAPFI207MBK";"Canon PFI-207MBK matte black";"0.0";"0.0"
"ZCCAPFI207Y";"Canon PFI-207Y yellow";"0.0";"0.0"
"ZCAPFI303MBK";"Canon PFI-303MBK matte black";"0.0";"0.0"
"ZCCAPFI306BL";"Canon PFI-306B blue";"0.0";"0.0"
"ZCCAPFI306B";"Canon PFI-306BK black";"0.0";"0.0"
"ZCCAPFI306C";"Canon PFI-306C cyan";"0.0";"0.0"
"ZCCAPFI306G";"Canon PFI-306G green";"0.0";"0.0"
"ZCCAPFI306GY";"Canon PFI-306GY grey";"0.0";"0.0"
"ZCCAPFI306M";"Canon PFI-306M magenta";"0.0";"0.0"
"ZCCAPFI306MBK";"Canon PFI-306MBK matte black";"0.0";"0.0"
"ZCCAPFI306PC";"Canon PFI-306PC photo cyan";"0.0";"0.0"
"ZCCAPFI306PGY";"Canon PFI-306PGY photo grey";"0.0";"0.0"
"ZCCAPFI306PM";"Canon PFI-306PM photo magenta";"0.0";"0.0"
"ZCCAPFI306R";"Canon PFI-306R red";"0.0";"0.0"
"ZCCAPFI306Y";"Canon PFI-306Y yellow";"0.0";"0.0"
"ZCAPFI307BK";"Canon PFI-307BK black";"0.0";"0.0"
"ZCAPFI307C";"Canon PFI-307C cyan";"0.0";"0.0"
"ZCAPFI307M";"Canon PFI-307M magenta";"0.0";"0.0"
"ZCAPFI307MBK";"Canon PFI-307MBK matte black";"0.0";"0.0"
"ZCAPFI307Y";"Canon PFI-307Y yellow";"0.0";"0.0"
"ZCAPFI310BK";"Canon PFI-310BK black";"0.0";"0.0"
"ZCAPFI310C";"Canon PFI-310C cyan";"0.0";"0.0"
"ZCAPFI310M";"Canon PFI-310M magenta";"0.0";"0.0"
"ZCAPFI310MBK";"Canon PFI-310MBK matte black";"0.0";"0.0"
"ZCAPFI310Y";"Canon PFI-310Y yellow";"0.0";"0.0"
"ZCCAPFI320BK";"Canon PFI-320BK black";"0.0";"0.0"
"ZCCAPFI320C";"Canon PFI-320C cyan";"0.0";"0.0"
"ZCCAPFI320M";"Canon PFI-320M magenta";"0.0";"0.0"
"ZCCAPFI320MBK";"Canon PFI-320MBK matte black";"0.0";"0.0"
"ZCCAPFI320Y";"Canon PFI-320Y yellow";"0.0";"0.0"
"ZCCAPFI701B";"Canon PFI-701B blue";"0.0";"0.0"
"ZCCAPFI701C";"Canon PFI-701C cyan";"0.0";"0.0"
"ZCCAPFI701G";"Canon PFI-701G green";"0.0";"0.0"
